Table 12 — Maximum Solar Heat Gain Factor For Externally Shaded Glass, W/m2
Πηγή: ASHRAE Handbook of Fundamentals 1989 / GRP-158
Βάση: Ground Reflectance = 0.2
Σημείωση: Use for latitudes 0-24 deg
Σημείωση: For latitudes greater than 24, use north orientation (Table 11)
Σημείωση: For horizontal glass in shade, use the tabulated value for all latitudes
,
Month,N,NNE_NNW,NE_NW,ENE_WNW,E_W,ESE_WSW,SE_SW,SSE_SSW,S,ALL_LAT_HOR
Jan,98,94,94,101,107,114,117,117,120,50
Feb,107,107,107,110,114,117,120,120,123,50
Mar,114,114,117,120,123,126,126,123,123,60
Apr,126,126,130,133,133,133,129,126,126,76
May,137,139,142,145,142,136,129,126,126,83
Jun,142,145,148,148,145,139,129,126,126,90
Jul,142,142,145,148,145,142,133,129,129,90
Aug,133,133,136,142,145,142,136,133,133,83
Sep,117,117,120,126,129,133,133,129,129,73
Oct,107,107,107,114,120,123,126,126,126,60
Nov,101,101,101,104,107,114,120,120,123,54
Dec,95,95,95,98,103,107,114,117,117,47
