Δομικό στοιχείο,Ζώνη Α' [W/(m²·K)],Ζώνη Β' [W/(m²·K)],Ζώνη Γ' [W/(m²·K)],Ζώνη Δ' [W/(m²·K)]
Εξωτερική οριζόντια ή κεκλιμένη επιφάνεια σε επαφή με τον εξωτερικό αέρα (οροφή),0.45,0.40,0.35,0.30
Εξωτερικός τοίχος σε επαφή με τον εξωτερικό αέρα,0.55,0.45,0.40,0.35
Δάπεδο σε επαφή με τον εξωτερικό αέρα (πιλοτή),0.45,0.40,0.35,0.30
Οριζόντια ή κεκλιμένη οροφή σε επαφή με κλειστό μη θερμαινόμενο χώρο,1.10,0.80,0.65,0.60
Τοίχος σε επαφή με κλειστό μη θερμαινόμενο χώρο,1.30,0.90,0.70,0.65
Δάπεδο σε επαφή με κλειστό μη θερμαινόμενο χώρο,1.10,0.80,0.65,0.60
Οριζόντια ή κεκλιμένη οροφή σε επαφή με το έδαφος,1.10,0.80,0.65,0.60
Τοίχος σε επαφή με το έδαφος,1.30,0.90,0.70,0.65
Δάπεδο σε επαφή με το έδαφος,1.10,0.80,0.65,0.60
Κούφωμα ανοίγματος σε επαφή με τον εξωτερικό αέρα,2.80,2.60,2.40,2.20
Κούφωμα ανοίγματος χωρίς υαλοπίνακα σε επαφή με τον εξωτερικό αέρα,2.80,2.60,2.40,2.20
Γυάλινη πρόσοψη κτιρίου μη ανοιγόμενη ή μερικώς ανοιγόμενη σε επαφή με τον εξωτερικό αέρα,2.10,1.90,1.75,1.70
Κούφωμα ανοίγματος σε επαφή με μη θερμαινόμενο χώρο,5.00,4.60,4.30,4.00
Κούφωμα ανοίγματος χωρίς υαλοπίνακα σε επαφή με μη θερμαινόμενο χώρο,5.00,4.60,4.30,4.00
Γυάλινη πρόσοψη κτιρίου μη ανοιγόμενη ή μερικώς ανοιγόμενη σε επαφή με μη θερμαινόμενο χώρο,3.80,3.40,3.00,2.80
